model,mechanism,wire,ceiling,n_run,n_skip_unsupported,n_skip_stall,pct_ok,pct_parser,pct_length,pct_timeout,pct_transport
qwen2.5:7b,A0,native,2048,4,0,0,100.0,0.0,0.0,0.0,0.0
qwen2.5:7b,A0,v1,2048,4,0,0,100.0,0.0,0.0,0.0,0.0
qwen2.5:7b,A1,native,2048,4,0,0,100.0,0.0,0.0,0.0,0.0
qwen2.5:7b,A1,v1,2048,4,0,0,100.0,0.0,0.0,0.0,0.0
qwen2.5:7b,B,native,2048,4,0,0,100.0,0.0,0.0,0.0,0.0
qwen2.5:7b,B,v1,2048,4,0,0,100.0,0.0,0.0,0.0,0.0
qwen2.5:7b,C,native,2048,4,0,0,100.0,0.0,0.0,0.0,0.0
qwen2.5:7b,C,v1,2048,4,0,0,100.0,0.0,0.0,0.0,0.0
taguru-extract-12b,A0,native,2048,31,0,0,93.5,0.0,0.0,6.5,0.0
taguru-extract-12b,A0,native,512,4,0,0,0.0,0.0,100.0,0.0,0.0
taguru-extract-12b,A0,native,512-esc,3,0,0,100.0,0.0,0.0,0.0,0.0
taguru-extract-12b,A0,native,unbounded,4,0,0,50.0,0.0,0.0,50.0,0.0
taguru-extract-12b,A0,v1,2048,16,0,0,0.0,0.0,0.0,100.0,0.0
taguru-extract-12b,A0,v1,512,4,0,0,0.0,0.0,100.0,0.0,0.0
taguru-extract-12b,A0,v1,unbounded,4,0,0,0.0,0.0,0.0,100.0,0.0
taguru-extract-12b,A1,native,2048,16,0,0,100.0,0.0,0.0,0.0,0.0
taguru-extract-12b,A1,native,512,4,0,0,50.0,0.0,50.0,0.0,0.0
taguru-extract-12b,A1,native,unbounded,4,0,0,100.0,0.0,0.0,0.0,0.0
taguru-extract-12b,A1,v1,2048,16,0,0,0.0,0.0,43.8,56.2,0.0
taguru-extract-12b,A1,v1,512,4,0,0,0.0,0.0,100.0,0.0,0.0
taguru-extract-12b,A1,v1,unbounded,4,0,0,0.0,0.0,0.0,100.0,0.0
taguru-extract-12b,B,native,2048,16,0,0,100.0,0.0,0.0,0.0,0.0
taguru-extract-12b,B,native,512,4,0,0,50.0,0.0,50.0,0.0,0.0
taguru-extract-12b,B,native,unbounded,4,0,0,100.0,0.0,0.0,0.0,0.0
taguru-extract-12b,B,v1,2048,10,0,6,0.0,0.0,0.0,100.0,0.0
taguru-extract-12b,B,v1,512,0,0,4,0.0,0.0,0.0,0.0,0.0
taguru-extract-12b,B,v1,unbounded,0,0,4,0.0,0.0,0.0,0.0,0.0
taguru-extract-12b,C,native,2048,16,0,0,100.0,0.0,0.0,0.0,0.0
taguru-extract-12b,C,native,512,4,0,0,50.0,0.0,50.0,0.0,0.0
taguru-extract-12b,C,native,unbounded,4,0,0,100.0,0.0,0.0,0.0,0.0
taguru-extract-12b,C,v1,2048,0,16,0,0.0,0.0,0.0,0.0,0.0
taguru-extract-12b,C,v1,512,0,4,0,0.0,0.0,0.0,0.0,0.0
taguru-extract-12b,C,v1,unbounded,0,4,0,0.0,0.0,0.0,0.0,0.0
