model,mechanism,wire,n_run,pct_ok,pct_recovered_by_retry,mean_attempts
qwen2.5:7b,A0,native,4,100.0,25.0,1.25
qwen2.5:7b,A0,v1,4,100.0,25.0,1.25
qwen2.5:7b,A1,native,4,100.0,0.0,1.0
qwen2.5:7b,A1,v1,4,100.0,0.0,1.0
qwen2.5:7b,B,native,4,100.0,0.0,1.0
qwen2.5:7b,B,v1,4,100.0,0.0,1.0
qwen2.5:7b,C,native,4,100.0,0.0,1.0
qwen2.5:7b,C,v1,4,100.0,0.0,1.0
taguru-extract-12b,A0,native,42,81.0,7.1,1.26
taguru-extract-12b,A0,v1,24,0.0,0.0,1.17
taguru-extract-12b,A1,native,24,91.7,8.3,1.17
taguru-extract-12b,A1,v1,24,0.0,0.0,1.5
taguru-extract-12b,B,native,24,91.7,8.3,1.17
taguru-extract-12b,B,v1,10,0.0,0.0,1.3
taguru-extract-12b,C,native,24,91.7,8.3,1.17
