model,mechanism,wire,effective_ceiling,finish_reason,syntax_ok,n
qwen2.5:7b,A0,native,2048,None,False,1
qwen2.5:7b,A0,native,2048,stop,True,4
qwen2.5:7b,A0,v1,2048,None,False,1
qwen2.5:7b,A0,v1,2048,stop,True,4
qwen2.5:7b,A1,native,2048,stop,True,4
qwen2.5:7b,A1,v1,2048,stop,True,4
qwen2.5:7b,B,native,2048,stop,True,4
qwen2.5:7b,B,v1,2048,stop,True,4
qwen2.5:7b,C,native,2048,stop,True,4
qwen2.5:7b,C,v1,2048,tool_calls,True,4
taguru-extract-12b,A0,native,2048,stop,False,2
taguru-extract-12b,A0,native,2048,stop,True,29
taguru-extract-12b,A0,native,512,length,False,11
taguru-extract-12b,A0,native,unbounded,stop,False,2
taguru-extract-12b,A0,native,unbounded,stop,True,5
taguru-extract-12b,A0,v1,512,length,False,8
taguru-extract-12b,A1,native,2048,stop,True,16
taguru-extract-12b,A1,native,512,length,False,6
taguru-extract-12b,A1,native,512,stop,True,2
taguru-extract-12b,A1,native,unbounded,stop,True,4
taguru-extract-12b,A1,v1,2048,length,False,15
taguru-extract-12b,A1,v1,512,length,False,8
taguru-extract-12b,B,native,2048,stop,True,16
taguru-extract-12b,B,native,512,length,False,6
taguru-extract-12b,B,native,512,stop,True,2
taguru-extract-12b,B,native,unbounded,stop,True,4
taguru-extract-12b,B,v1,2048,length,False,4
taguru-extract-12b,C,native,2048,stop,True,16
taguru-extract-12b,C,native,512,length,False,6
taguru-extract-12b,C,native,512,stop,True,2
taguru-extract-12b,C,native,unbounded,stop,True,4
